survived,pclass,sex,age,sibsp,parch,fare,alone,family_size,age_zscore,fare_zscore,embarked_C,embarked_Q,embarked_S,who_child,who_man,who_woman
0,3,0,22.0,1,0,7.25,0,2,-0.5324300623939701,-0.4999583222338398,False,False,True,False,True,False
1,1,1,38.0,1,0,71.2833,0,2,0.6732824414057733,0.7885027560515833,True,False,False,False,False,True
1,3,1,26.0,0,0,7.925,1,1,-0.23100193644403422,-0.4863761512721267,False,False,True,False,False,True
1,1,1,35.0,1,0,53.1,0,2,0.4472113469433214,0.4226232164247433,False,False,True,False,False,True
0,3,0,35.0,0,0,8.05,1,1,0.4472113469433214,-0.48386093442736505,False,False,True,False,True,False
0,3,0,25.0,0,0,8.4583,1,1,-0.3063589679315182,-0.4756452301256355,False,True,False,False,True,False
0,1,0,54.0,0,0,51.8625,1,1,1.8789949452055166,0.39772256966160263,False,False,True,False,True,False
0,3,0,2.0,3,1,21.075,0,5,-2.0395706921436494,-0.22177533920319834,False,False,True,True,False,False
1,3,1,27.0,0,2,11.1333,0,3,-0.15564490495655028,-0.42181958964773564,False,False,True,False,False,True
1,2,1,14.0,1,0,30.0708,0,2,-1.1352863142938416,-0.04076423766634161,True,False,False,True,False,False
1,3,1,4.0,1,1,16.7,0,3,-1.8888566291686812,-0.309807928769857,False,False,True,True,False,False
1,1,1,58.0,0,0,26.55,1,1,2.1804230711554524,-0.11160884140263685,False,False,True,False,False,True
0,3,0,20.0,0,0,8.05,1,1,-0.683144125368938,-0.48386093442736505,False,False,True,False,True,False
0,3,0,39.0,1,5,31.275,0,7,0.7486394728932573,-0.016533644670645515,False,False,True,False,True,False
0,3,1,14.0,0,0,7.8542,1,1,-1.1352863142938416,-0.48780077009299977,False,False,True,True,False,False
1,2,1,55.0,0,0,16.0,1,1,1.9543519766930006,-0.3238931431005224,False,False,True,False,False,True
0,3,0,2.0,4,1,29.125,0,6,-2.0395706921436494,-0.05979537440054633,False,True,False,True,False,False
1,2,0,30.0,0,0,13.0,1,1,0.0704261895059016,-0.38425834737480263,False,False,True,False,True,False
0,3,1,31.0,1,0,18.0,0,2,0.14578322099338556,-0.28364967358433557,False,False,True,False,False,True
1,3,1,21.5,0,0,7.225,1,1,-0.570108578137712,-0.5004613656027921,True,False,False,False,False,True
0,2,0,35.0,0,0,26.0,1,1,0.4472113469433214,-0.12267579551958825,False,False,True,False,True,False
1,2,0,34.0,0,0,13.0,1,1,0.3718543154558374,-0.38425834737480263,False,False,True,False,True,False
1,3,1,15.0,0,0,8.0292,1,1,-1.0599292828063578,-0.4842794665103334,False,True,False,True,False,False
1,1,0,28.0,0,0,35.5,1,1,-0.08028787346906631,0.06848068468229919,False,False,True,False,True,False
0,3,1,8.0,3,1,21.075,0,5,-1.5874285032187454,-0.22177533920319834,False,False,True,True,False,False
1,3,1,38.0,1,5,31.3875,0,7,0.6732824414057733,-0.014269949510359993,False,False,True,False,False,True
0,3,0,25.0,0,0,7.225,1,1,-0.3063589679315182,-0.5004613656027921,True,False,False,False,True,False
0,1,0,19.0,3,2,263.0,0,6,-0.7585011568564219,4.646175342148551,False,False,True,False,True,False
1,3,1,21.5,0,0,7.8792,1,1,-0.570108578137712,-0.48729772672404736,False,True,False,False,False,True
