survived,pclass,sex,age,sibsp,parch,fare,embarked,who,alone,family_size,age_zscore,fare_zscore
0,3,male,22.0,1,0,7.25,S,man,False,2,-0.5324300623939701,-0.4999583222338398
1,1,female,38.0,1,0,71.2833,C,woman,False,2,0.6732824414057733,0.7885027560515833
1,3,female,26.0,0,0,7.925,S,woman,True,1,-0.23100193644403422,-0.4863761512721267
1,1,female,35.0,1,0,53.1,S,woman,False,2,0.4472113469433214,0.4226232164247433
0,3,male,35.0,0,0,8.05,S,man,True,1,0.4472113469433214,-0.48386093442736505
0,3,male,25.0,0,0,8.4583,Q,man,True,1,-0.3063589679315182,-0.4756452301256355
0,1,male,54.0,0,0,51.8625,S,man,True,1,1.8789949452055166,0.39772256966160263
0,3,male,2.0,3,1,21.075,S,child,False,5,-2.0395706921436494,-0.22177533920319834
1,3,female,27.0,0,2,11.1333,S,woman,False,3,-0.15564490495655028,-0.42181958964773564
1,2,female,14.0,1,0,30.0708,C,child,False,2,-1.1352863142938416,-0.04076423766634161
1,3,female,4.0,1,1,16.7,S,child,False,3,-1.8888566291686812,-0.309807928769857
1,1,female,58.0,0,0,26.55,S,woman,True,1,2.1804230711554524,-0.11160884140263685
0,3,male,20.0,0,0,8.05,S,man,True,1,-0.683144125368938,-0.48386093442736505
0,3,male,39.0,1,5,31.275,S,man,False,7,0.7486394728932573,-0.016533644670645515
0,3,female,14.0,0,0,7.8542,S,child,True,1,-1.1352863142938416,-0.48780077009299977
1,2,female,55.0,0,0,16.0,S,woman,True,1,1.9543519766930006,-0.3238931431005224
0,3,male,2.0,4,1,29.125,Q,child,False,6,-2.0395706921436494,-0.05979537440054633
1,2,male,30.0,0,0,13.0,S,man,True,1,0.0704261895059016,-0.38425834737480263
0,3,female,31.0,1,0,18.0,S,woman,False,2,0.14578322099338556,-0.28364967358433557
1,3,female,21.5,0,0,7.225,C,woman,True,1,-0.570108578137712,-0.5004613656027921
0,2,male,35.0,0,0,26.0,S,man,True,1,0.4472113469433214,-0.12267579551958825
1,2,male,34.0,0,0,13.0,S,man,True,1,0.3718543154558374,-0.38425834737480263
1,3,female,15.0,0,0,8.0292,Q,child,True,1,-1.0599292828063578,-0.4842794665103334
1,1,male,28.0,0,0,35.5,S,man,True,1,-0.08028787346906631,0.06848068468229919
0,3,female,8.0,3,1,21.075,S,child,False,5,-1.5874285032187454,-0.22177533920319834
1,3,female,38.0,1,5,31.3875,S,woman,False,7,0.6732824414057733,-0.014269949510359993
0,3,male,25.0,0,0,7.225,C,man,True,1,-0.3063589679315182,-0.5004613656027921
0,1,male,19.0,3,2,263.0,S,man,False,6,-0.7585011568564219,4.646175342148551
1,3,female,21.5,0,0,7.8792,Q,woman,True,1,-0.570108578137712,-0.48729772672404736
0,3,male,25.0,0,0,7.8958,S,man,True,1,-0.3063589679315182,-0.486963705927063
0,1,male,40.0,0,0,27.7208,C,man,True,1,0.8239965043807411,-0.08805031434786109
1,1,female,35.0,1,0,146.5208,C,woman,False,2,0.4472113469433214,2.3024117749136366
1,3,female,21.5,0,0,7.75,Q,woman,True,1,-0.570108578137712,-0.4898974548547931
0,2,male,66.0,0,0,10.5,S,man,True,1,2.7832793230553246,-0.4345626842700362
0,1,male,28.0,1,0,82.1708,C,man,False,2,-0.08028787346906631,1.0075781432303252
0,1,male,42.0,1,0,52.0,S,man,False,2,0.974710567355709,0.40048930819084055
1,3,male,25.0,0,0,7.2292,C,man,True,1,-0.3063589679315182,-0.5003768543168081
0,3,male,21.0,0,0,8.05,S,man,True,1,-0.607787093881454,-0.48386093442736505
0,3,female,18.0,2,0,18.0,S,woman,False,3,-0.8338581883439059,-0.28364967358433557
1,3,female,14.0,1,0,11.2417,C,child,False,2,-1.1352863142938416,-0.41963839359995825
0,3,female,40.0,1,0,9.475,S,woman,False,2,0.8239965043807411,-0.4551874623970819
0,2,female,27.0,1,0,21.0,S,woman,False,2,-0.15564490495655028,-0.22328446931005533
0,3,male,25.0,0,0,7.8958,C,man,True,1,-0.3063589679315182,-0.486963705927063
1,2,female,3.0,1,2,41.5792,C,child,False,4,-1.9642136606561653,0.19080473462370068
1,3,female,19.0,0,0,7.8792,Q,woman,True,1,-0.7585011568564219,-0.48729772672404736
0,3,male,25.0,0,0,8.05,S,man,True,1,-0.3063589679315182,-0.48386093442736505
0,3,male,25.0,1,0,15.5,Q,man,False,2,-0.3063589679315182,-0.33395401047956913
1,3,female,21.5,0,0,7.75,Q,woman,True,1,-0.570108578137712,-0.4898974548547931
0,3,male,25.0,2,0,21.6792,C,man,False,3,-0.3063589679315182,-0.20961778706235826
0,3,female,18.0,1,0,17.8,S,woman,False,2,-0.8338581883439059,-0.28767402053595426
0,3,male,7.0,4,1,39.6875,S,child,False,6,-1.6627855347062295,0.15274044898181535
0,3,male,21.0,0,0,7.8,S,man,True,1,-0.607787093881454,-0.4888913681168884
1,1,female,49.0,1,0,76.7292,C,woman,False,2,1.5022097877680969,0.8980837113706843
1,2,female,29.0,1,0,26.0,S,woman,False,2,-0.004930841981582358,-0.12267579551958825
0,1,male,65.0,0,1,61.9792,C,man,False,2,2.7079222915678405,0.6012881236888064
1,1,male,40.0,0,0,35.5,S,man,True,1,0.8239965043807411,0.06848068468229919
1,2,female,21.0,0,0,10.5,S,woman,True,1,-0.607787093881454,-0.4345626842700362
0,3,male,28.5,0,0,7.2292,C,man,True,1,-0.042609357725324336,-0.5003768543168081
1,2,female,5.0,1,2,27.75,S,child,False,4,-1.8134995976811974,-0.08746275969292477
0,3,male,11.0,5,2,46.9,S,child,False,8,-1.3613574087562936,0.2978684609245641
0,3,male,22.0,0,0,7.2292,C,man,True,1,-0.5324300623939701,-0.5003768543168081
0,1,male,45.0,1,0,83.475,S,man,False,2,1.200781661818161,1.0338209097018307
0,3,male,4.0,3,2,27.9,S,child,False,6,-1.8888566291686812,-0.08444449947921079
0,1,male,40.0,0,0,27.7208,C,man,True,1,0.8239965043807411,-0.08805031434786109
1,3,male,25.0,1,1,15.2458,C,man,False,3,-0.3063589679315182,-0.3390689554550765
1,2,female,29.0,0,0,10.5,S,woman,True,1,-0.004930841981582358,-0.4345626842700362
0,3,male,19.0,0,0,8.1583,S,man,True,1,-0.7585011568564219,-0.4816817505530635
1,3,female,17.0,4,2,7.925,S,woman,False,7,-0.9092152198313899,-0.4863761512721267
0,3,male,26.0,2,0,8.6625,S,man,False,3,-0.23100193644403422,-0.4715363718880328
0,2,male,32.0,0,0,10.5,S,man,True,1,0.22114025248086952,-0.4345626842700362
0,3,female,16.0,5,2,46.9,S,woman,False,8,-0.9845722513188738,0.2978684609245641
0,2,male,21.0,0,0,73.5,S,man,True,1,-0.607787093881454,0.8331066054898489
0,3,male,26.0,1,0,14.4542,C,man,False,2,-0.23100193644403422,-0.3549973206895832
1,3,male,32.0,0,0,56.4958,S,man,True,1,0.22114025248086952,0.49095260331627694
0,3,male,25.0,0,0,7.65,S,man,True,1,-0.3063589679315182,-0.4919096283306024
0,3,male,25.0,0,0,7.8958,S,man,True,1,-0.3063589679315182,-0.486963705927063
0,3,male,25.0,0,0,8.05,S,man,True,1,-0.3063589679315182,-0.48386093442736505
1,2,male,0.83,0,2,29.0,S,child,False,3,-2.1277384189840056,-0.06231059124530801
1,3,female,30.0,0,0,12.475,S,woman,True,1,0.0704261895059016,-0.39482225812280164
0,3,male,22.0,0,0,9.0,S,man,True,1,-0.5324300623939701,-0.4647452864071763
1,3,male,29.0,0,0,9.5,S,man,True,1,-0.004930841981582358,-0.4546844190281296
1,3,female,21.5,0,0,7.7875,Q,woman,True,1,-0.570108578137712,-0.48914288980136456
0,1,male,28.0,0,0,47.1,S,man,True,1,-0.08028787346906631,0.30189280787618283
1,2,female,17.0,0,0,10.5,S,woman,True,1,-0.9092152198313899,-0.4345626842700362
1,3,female,33.0,3,0,15.85,S,woman,False,4,0.29649728396835345,-0.3269114033142364
0,3,male,16.0,1,3,34.375,S,man,False,5,-0.9845722513188738,0.045843733079444095
0,3,male,25.0,0,0,8.05,S,man,True,1,-0.3063589679315182,-0.48386093442736505
1,1,female,23.0,3,2,263.0,S,woman,False,6,-0.4570730309064861,4.646175342148551
0,3,male,24.0,0,0,8.05,S,man,True,1,-0.38171599941900214,-0.48386093442736505
0,3,male,29.0,0,0,8.05,S,man,True,1,-0.004930841981582358,-0.48386093442736505
0,3,male,20.0,0,0,7.8542,S,man,True,1,-0.683144125368938,-0.48780077009299977
0,1,male,46.0,1,0,61.175,S,man,False,2,1.2761386933056449,0.5851062245963475
0,3,male,26.0,1,2,20.575,S,man,False,4,-0.23100193644403422,-0.23183620658224505
0,3,male,59.0,0,0,7.25,S,man,True,1,2.2557801026429365,-0.4999583222338398
0,3,male,25.0,0,0,8.05,S,man,True,1,-0.3063589679315182,-0.48386093442736505
0,1,male,71.0,0,0,34.6542,C,man,True,1,3.160064480492744,0.05146172142390384
1,1,male,23.0,0,1,63.3583,C,man,False,2,-0.4570730309064861,0.6290380080936929
1,2,female,34.0,0,1,23.0,S,woman,False,2,0.3718543154558374,-0.18304099979386848
0,2,male,34.0,1,0,26.0,S,man,False,2,0.3718543154558374,-0.12267579551958825
0,3,female,28.0,0,0,7.8958,S,woman,True,1,-0.08028787346906631,-0.486963705927063
0,3,male,25.0,0,0,7.8958,S,man,True,1,-0.3063589679315182,-0.486963705927063
0,1,male,21.0,0,1,77.2875,S,man,False,2,-0.607787093881454,0.9093176758861277
0,3,male,33.0,0,0,8.6542,S,man,True,1,0.29649728396835345,-0.47170338228652503
0,3,male,37.0,2,0,7.925,S,man,False,3,0.5979254099182894,-0.4863761512721267
0,3,male,28.0,0,0,7.8958,S,man,True,1,-0.08028787346906631,-0.486963705927063
1,3,female,21.0,0,0,7.65,S,woman,True,1,-0.607787093881454,-0.4919096283306024
1,3,male,25.0,0,0,7.775,S,man,True,1,-0.3063589679315182,-0.4893944114858408
