title,price_gbp,rating,in_stock,category
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True,Sequential Art
This One Summer,19.49,4,True,Sequential Art
The Nameless City (The Nameless City #1),38.16,4,True,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,1,True,Sequential Art
Patience,10.16,3,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,True,Sequential Art
I am a Hero Omnibus Volume 1,54.63,3,True,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,True,Sequential Art
Danganronpa Volume 1,51.99,4,True,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,True,Sequential Art
Camp Midnight,17.08,4,True,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,True,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,1,True,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,True,Sequential Art
Batman: The Long Halloween (Batman),36.5,2,True,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,5,True,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,True,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,True,Sequential Art
Through the Woods,25.38,2,True,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,True,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,True,Sequential Art
Robin War,47.82,3,True,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,True,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,True,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,True,Sequential Art
El Deafo,57.62,5,True,Sequential Art
Batman: Europa,32.01,2,True,Sequential Art
Art Ops Vol. 1,48.8,3,True,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,True,Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,True,Sequential Art
Roller Girl,14.1,5,True,Sequential Art
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,True,Sequential Art
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,True,Sequential Art
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,True,Sequential Art
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,True,Sequential Art
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,True,Sequential Art
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,True,Sequential Art
